gene
YDL094C
NUM1
PRP28
YDL206W
YDR526C
AFR1
YHP1
snR84
YDR034W-B
MPS1
VTC5
NRG1
VPS61
YDR239C
PKH3
SCC2
HXT6
OMS1
GYP7
SAC3
RAD61
VAM6
YSP2
STL1
NSI1
AHK1
QRI7
LCD1
YDL241W
JIP4
SSN2
USO1
ITR1
VPS72
RTN2
GCV1
CHL4
HO
HSP78
ARO10
YDR133C
PRP3
HTA1
SAM2
PRM7
YDL185C-A
PDR15
MBP1
SWR1
DNF2
YDR286C
HEM13
TFB1
UME6
HDA2
PST1
SHE9
MRH1
HXT7
NOP14
GIN4
MCD1
HSP42
GIC2
ADY3
YDL228C
ZIP1
UTP6
TPS2
DIT2
UBA2
ARP10
SWI5
tL(UAA)D
FMP16
HXT3
YDL218W
STP4
CFT1
SIR4
CYK3
EMI2
SPP41
YCG1
PCL9
YDR210W
MFA1
HBT1
GDH2
YDR220C
COX26
RGA2
ECM11
DAD1
SSD1
RAD9
SPO71
SAS4
SPC110
YDR320W-B
YDR210C-D
YOR385W
YOR019W
DSE3
ASE1
ZPS1
GCY1
YOR333C
YOL046C
SIA1
IZH4
NDD1
YOR387C
YOR248W
RTC1
GRE2
PET127
REV1
RIM20
IZH2
SKM1
GAC1
MSB1
FIT2
PIN2
HPF1
CMK2
SFG1
FRE5
PSK2
SSP2
NBA1
PDR5
HXT11
MCH5
YOR329W-A
RPB10
RGA1
MUM3
AVO1
HAL9
FDH1
ARP8
RIB4
FIT3
STE13
DDR2
ARG1
THI20
ALD4
PHM7
PUT4
PAP2
MSA1
PTP2
SRL1
IFM1
MDH2
DIA2
SLK19
TEA1
PKH2
OSW1
YOR055W
YOL014W
HST3
NOP19
BTN2
SCW11
ALK1
HUR1
ESP1
TOS8
ADH4
RTS3
ASK10
KIP3
STF2
SOL4
SLH1
YGL102C
SLD3
BNS1
TRS65
YGR237C
CCH1
GSC2
YGL138C
PDC6
NQM1
NNF2
RCK1
YPP1
CLB1
YGL217C
YGL199C
YGR164W
MDS3
BIO2
SNT2
YGR269W
YAP1802
FMP48
PSD2
MND1
YGR160W
MPC3
SGF73
YGL188C-A
TFC4
KEL2
GND2
YGL036W
MIG2
RAD54
MPT5
YGR168C
PYC1
MUP1
YGR121W-A
IME4
TPO2
CDC20
YGR035C
ZRT1
YGR066C
CGR1
RPL9A
THI4
DAM1
RAD2
MEP1
SPG1
YGR201C
CRH1
HFM1
ZIP2
ROM1
AMA1
CTT1
SYF2
YGL039W
VHT1
AGA2
SWC4
PMC1
OSW2
TMA10
YCS4
SHH4
SIC1
ACO1
FRE1
STU2
PUN1
SPO75
YLR278C
YCT1
RRT7
SHM2
ACE2
HAP1
SPO77
RSC2
SKG3
HSP104
YLL053C
FBP1
SFI1
ECM30
MET17
YLR154W-B
GAL2
SMC6
CAR2
NCW2
IFH1
INA1
YPS3
PUT1
TAR1
snR30
HMX1
YPS1
YLL044W
JLP1
snR6
RAX2
YLR379W
SMC4
YLR053C
SDH2
GSY2
IDP2
YLR154W-F
CSF1
COX17
YLR307C-A
ATG26
PDC5
YLR124W
YLR154W-E
TFS1
COA4
YLR154W-A
TOS4
YLR042C
UBR2
SIR3
CFT2
SWI6
BUD28
BUR2
MNL2
RDN5-1
ADE13
MMS22
CTS1
YLR227W-B
SRO7
OPT2
YPL250W-A
KAR3
TPO3
HSP82
CAR1
SVS1
YPL088W
NCE102
LEE1
POC4
SPO24
ACM1
CTR1
SUE1
tC(GCA)P1
PDR12
GRE1
ICL2
RGC1
OPI11
ALD6
MF(ALPHA)1
REC8
MMS1
YPL142C
MUK1
tW(CCA)P
PBI1
YPR108W-A
REV3
GCR1
YPL182C
FHL1
MRX4
RLF2
MSF1
CLN2
ODC1
SMA1
DIP5
OYE3
IQG1
YPR117W
KAR9
AIM44
GPH1
RGL1
FRK1
PRM4
YPL251W
SWI1
SYT1
SEC8
YPR127W
EEB1
AQY1
BEM3
PMA2
ATH1
NIP100
CTL1
YML020W
PGM2
snR76
RCO1
TRI1
SHH3
RPM2
CLN1
SNZ1
SOK2
SOV1
YMR245W
snR83
YML131W
PHO84
HFA1
HXT2
MDM1
SML1
CEF1
BUD22
snR86
REC114
YET2
GCV2
MSC1
CYB2
YMR317W
PEX9
YOX1
DNF3
TRM732
AIM34
FET3
PDS5
RNT1
YMR103C
ADH2
DIA1
PPZ1
ZDS2
PRM6
PAI3
TRS130
CDC5
CAT2
YMR230W-A
EPO1
YML119W
RRN11
ECM5
PLB2
CAT8
ALD2
YMR244W
SPG4
SIP18
YMR304C-A
YMR122W-A
NDI1
NAB6
URA10
SGS1
ORC1
YMR102C
TMA23
ECM16
RKR1
YMR001C-A
ISF1
SRC1
ALD3
SRT1
ZDS1
YMR086C-A
YMR045C
YBR116C
GAL10
YBL065W
TEC1
SUL1
TIM12
AMN1
TBS1
STU1
YBR071W
MEC1
HTB2
SSE2
PRP5
KIP1
RTC2
CHS3
TEL1
TIP1
HHT1
OM14
HTA2
HHF1
DSF2
PHO3
FLR1
ACH1
CHS2
HPC2
LSR1
THI2
YRO2
HSP26
SLI15
YBL081W
PHO89
PCS60
PAU24
ECM8
RCR1
ECM13
SSA3
CTP1
ICS2
GAL1
YBR085C-A
TFC1
RIF1
BOI1
SAS3
PHO5
YBR178W
NRG2
GAL7
AIM3
POL30
YSW1
"DUR1,2"
YBR113W
RDH54
YBL005W-B
HHF2
POL1
CIT1
NST1
POP1
YNL190W
MFA2
TOF1
YNL058C
YNL195C
YNL319W
CHS1
MLS1
DSE4
NCE103
BIO3
VAC7
KAR1
FYV6
AQR1
YNL143C
snR40
BNI4
HHT2
FPK1
NIS1
SUN4
SSK2
POL2
MEP2
YNR014W
HXT14
YNR065C
BIO5
TOP2
WHI3
EGT2
PRM1
AGA1
NRM1
YNR066C
BIO4
YNL277W-A
TOS6
