,dglucose,rich_media,ros,30c,osmolytes,ancestry,shuffled
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.021987892792155992,0.0006694250628282765,0.006177855167429283,0.0070081527667000005,0.002162625535680483,0.0,0.002850701912509604
2,0.023923174847721048,0.005129063737110017,0.00933851411941928,0.008533691518977243,0.005190921608721931,0.0,0.005732020597661843
3,0.024881309544842436,0.004400240990324761,0.010435524771603184,0.014342312270611014,0.00512498112002343,0.0,0.006173243552372605
4,0.0118633710450913,0.002921924004473544,0.010053232630790344,0.022547841237717768,0.012894743020013696,0.0,0.00574081176528556
5,0.006687192924946964,0.0022768173698111366,0.006685299254188517,0.01153261427230071,0.01365065535630985,0.0,0.007266784047789075
6,0.004915564212721757,0.0022589326711303917,0.008290753595480723,0.015278513511024171,0.01377566768248416,0.0,0.00738163573287374
7,0.002894714720524635,0.0019824045526845436,0.013533900662272414,0.02297800654520575,0.01889159007342249,0.0,0.007288670385998687
8,0.0025703035504232364,0.0010988411410823061,0.013353350350467575,0.013776058873062035,0.020077688844112228,0.0,0.005283309518128255
9,0.0007740029620852152,0.0009361822825488352,0.012796592367417207,0.005051237287398022,0.015749528759967598,0.0,0.00792283770738491
10,0.00030384943892555153,0.001088267726029901,0.012371074370701196,0.0032670060994526053,0.018328729513590863,0.0,0.008385833225754986
11,5.6619414280137825e-05,0.0010742907326330403,0.004660450427871571,0.0019027267590410572,0.007840726003440652,0.0,0.009156844296599312
12,4.940485389500232e-05,0.0011224617753858657,0.0032682244148765785,0.0014696540777342957,0.0056695156671948636,0.0,0.007848552185171866
13,4.981080473045771e-05,0.0010669852981561182,0.003152742126618166,0.0013158173924100259,0.005325342697724971,0.0,0.006181110596066722
14,5.0365146532778244e-05,0.0009021739311130658,0.0022639897569666687,0.001213845775103017,0.004088086130165081,0.0,0.007416238658423052
15,4.309635790030997e-05,0.0008009626928087804,0.0024775135583488058,0.0004875336680305545,0.0037154440430876953,0.0,0.007025537660302388
16,4.478126309391899e-05,0.0007378869942507665,0.0024527856297365375,0.0004989268787983879,0.0026974980082314494,0.0,0.005462774576322076
17,2.3555999045507773e-05,0.0004921696313213125,0.0023503517105730896,0.0005026929316882448,0.0016930016120771808,0.0,0.006258825325601465
18,1.5045744555453128e-05,0.00024260700787770236,0.0019244557172988222,0.0004909533154030249,0.0011161454803883817,0.0,0.004568674252616434
19,1.3721706046228986e-05,0.00012268831065062423,0.0025910900346244993,0.0005428112480900004,0.0012394203746608917,0.0,0.005895377406672346
20,1.1706691496355259e-05,8.772494370793123e-05,0.00306264524243495,0.00028941509109753474,0.0012559752585819593,0.0,0.006279161038612828
21,1.1915547715436662e-05,0.00010086918013908136,0.0014799613691183831,0.00016282899506602435,0.00128761210420987,0.0,0.0049629675170539045
22,1.1011473732673932e-05,0.00010134595664717193,0.0004333325990392075,3.256518365801529e-05,0.0012668136164745443,0.0,0.005093598385912424
23,1.0922073153425303e-05,9.000139026226164e-05,0.0003988820355945319,3.5974754591346295e-05,0.0012671537227289306,0.0,0.006739100172142822
24,7.83074369736394e-06,8.498140277535137e-05,0.0003492835952643464,4.225616547460135e-05,0.0012680416582620735,0.0,0.00837026727119353
25,7.440898608440337e-06,6.816234695951605e-05,0.00019562903039559176,3.606431005667964e-05,0.0012334910400666592,0.0,0.007896852843394819
26,3.710295179757645e-06,7.521265001903381e-05,0.0001950371021778034,4.933642821741217e-06,0.0011211904489535243,0.0,0.008297884315499014
27,1.953315835906772e-06,6.863492227638392e-05,0.00024688481948428794,9.186537033105678e-06,0.001053731632462708,0.0,0.00808684668846922
28,1.1453125527828612e-06,3.548998865254907e-05,8.162946528293951e-05,5.8535107417300635e-06,0.0008994416975410041,0.0,0.0065312446814732965
29,8.072747347000189e-07,4.14667446901848e-06,2.876703731199282e-05,4.307664834462047e-06,0.0006911059849198873,0.0,0.005760942147062606
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
