,dglucose,rich_media,ros,30c,osmolytes,ancestry,shuffled
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4751026825229541,0.06496264897632575,0.14613497554409963,0.43981185288037644,0.33199671095783045,0.0,0.030572437551602258
2,0.9791135366634149,0.22368743896026436,0.34800662689512163,0.6331252489226418,0.9088891943447877,0.0,0.06540046945115198
3,0.9848045193681125,0.9068429714294018,0.40794236465650036,0.6366951479108596,0.9270939432907125,0.0,0.09467695393598051
4,0.9890003709831436,0.9287093946128057,0.548567608512069,0.6728087119071918,0.9642917197222202,0.0,0.12916158196758235
5,0.9908479521423391,0.9969473650096795,0.6854846882286912,0.8296661536362654,0.9738820894557483,0.0,0.15956936673926644
6,0.9916577166844679,0.9970608112266754,0.6930787361241185,0.895624947622796,0.9780875605120335,0.0,0.18992758107631413
7,0.9950200216487087,0.997532413594327,0.7033065275666829,0.9593637968004464,0.9787686520943183,0.0,0.22523590241152672
8,0.995461265930711,0.9975717919633645,0.7068459658495397,0.9605638253432452,0.9800658486497947,0.0,0.2555814090852638
9,0.9970334219992666,0.9979163894634615,0.7274591684413109,0.9613768018223353,0.9807426996191216,0.0,0.28863175578784195
10,0.9983625231583962,0.9981861363881478,0.7624021011853129,0.961800600716511,0.98236153273916,0.0,0.3182818171288934
11,0.9984847811000429,0.9984331287412499,0.8150859625875779,0.9691870509479162,0.988942715442619,0.0,0.35658435441314124
12,0.9985862154094008,0.9987681919729159,0.8784169984113367,0.9804320096836636,0.9906939381140661,0.0,0.389995033170807
13,0.9989959896508916,0.9987961811710079,0.9201539677196723,0.990944213773115,0.9920896885919546,0.0,0.4234169815858719
14,0.9990857759240019,0.9988754352566506,0.9423138260401939,0.9918742669099275,0.9958190994014027,0.0,0.4624011003964674
15,0.9991966176560302,0.9992750304224196,0.9677072310536561,0.9951711745723927,0.9986284317090318,0.0,0.4965313762337123
16,0.999303531006785,0.9994327017082633,0.9767093401406867,0.9959213747747601,0.9993850171201194,0.0,0.5300137813441947
17,0.9994317945876167,0.9995329887848535,0.9799497084915281,0.9975903123295015,0.9994774406064052,0.0,0.5619242709478766
18,0.9996451123491387,0.9996905476813897,0.9812679183484141,0.998142130715952,0.9995658819827157,0.0,0.5973679559373848
19,0.9999057683164408,0.9998101939383766,0.982996300982912,0.9987685238136593,0.9997285261861096,0.0,0.6285990856478166
20,0.9999225819071818,0.9998765282651538,0.9870074782668063,0.9991373119096565,0.999761109671739,0.0,0.6649969856701864
21,0.999930121042978,0.9998869450728267,0.9894977560301689,0.9992953158652472,0.9997981822773457,0.0,0.7017864909734611
22,0.9999379109698419,0.9998953653211519,0.9922635527025653,0.9994281074184889,0.9998262255287084,0.0,0.7357627200556921
23,0.9999458637476873,0.9999188078498337,0.993841653025923,0.9995432823311455,0.9998975364030304,0.0,0.7676177369245475
24,0.9999536461390687,0.9999388024984689,0.9959055201525467,0.9996297146704946,0.9999241050437608,0.0,0.7991686414443353
25,0.9999621031653879,0.9999519346712598,0.9962867794413168,0.9996750950789149,0.9999402525140368,0.0,0.83065505654129
26,0.9999704059218096,0.9999601323256648,0.9965263520613318,0.9997355648055742,0.999952300689543,0.0,0.864998849659362
27,0.9999780091110164,0.9999700519529903,0.9970060026586736,0.9997952124604216,0.999963892607384,0.0,0.8956884864804152
28,0.9999850138211617,0.9999746572020197,0.9977672858232739,0.9998610132213047,0.9999747815095903,0.0,0.9245943465774534
29,0.9999925033103244,0.9999870882589806,0.9989359362443816,0.9999338848579846,0.9999875381992992,0.0,0.9655012423388255
30,1.0,1.0,1.0,1.0,1.0,0.0,1.0
