PC,variance_ratio,cumulative_ratio
1,0.03610551011844964,0.03610551011844964
2,0.019173221556331273,0.05527873167478091
3,0.01646542828969954,0.07174415996448044
4,0.011498850194165277,0.08324301015864571
5,0.011031713877104724,0.09427472403575043
6,0.008183025939321195,0.10245774997507164
7,0.007772126655654172,0.11022987663072581
8,0.007160234158640605,0.11739011078936641
9,0.00590375948024603,0.12329387026961244
10,0.0047811572372082,0.12807502750682065
11,0.004211409365085717,0.13228643687190636
12,0.0037436650707888316,0.1360301019426952
13,0.003271914182118839,0.13930201612481402
14,0.0031056172931709382,0.14240763341798496
15,0.002876050309163455,0.14528368372714842
16,0.0027372476821230234,0.14802093140927144
17,0.0026077072017463465,0.1506286386110178
18,0.0025809462828689685,0.15320958489388678
19,0.002373926904582875,0.15558351179846966
20,0.0021464956993842493,0.1577300074978539
21,0.0020500325254720194,0.1597800400233259
22,0.001997225602862221,0.16177726562618813
23,0.0019037849165589908,0.16368105054274712
24,0.001853472378723335,0.16553452292147045
25,0.0017487551753167141,0.16728327809678717
26,0.0017360071933779236,0.1690192852901651
27,0.0017078505346120117,0.1707271358247771
28,0.0016584073629014198,0.17238554318767854
29,0.0016161015119079446,0.17400164469958648
30,0.001584703844040998,0.17558634854362748
31,0.0015613124774333197,0.1771476610210608
32,0.0015439947890035228,0.17869165581006433
33,0.0015255372988709783,0.1802171931089353
34,0.0014977071055488937,0.1817149002144842
35,0.0014899298926404792,0.18320483010712468
36,0.0014766614386930845,0.18468149154581776
37,0.0014581990374435685,0.18613969058326132
38,0.0014165224580370646,0.18755621304129838
39,0.0014120532172343582,0.18896826625853275
40,0.0014096581690000059,0.19037792442753276
41,0.0014015851318455942,0.19177950955937836
42,0.0013907502188485544,0.1931702597782269
43,0.0013858299733620584,0.19455608975158897
44,0.0013834320991908387,0.1959395218507798
45,0.0013797072968118203,0.19731922914759165
46,0.0013765062648130606,0.1986957354124047
47,0.0013744160976411734,0.20007015151004587
48,0.0013728651323688078,0.20144301664241468
49,0.0013707045465169156,0.2028137211889316
50,0.0013677017190503692,0.20418142290798197
