X,Y_anc_sceg-30,Y_anc_sceg-37,Y_anc_sdc,Y_anc_sdc-37,Y_anc_sdc-diam,Y_anc_sdc-h2o2,Y_anc_sdc-kcl,Y_anc_sdc-kcl-diam,Y_anc_sdc-kcl-h2o2,Y_anc_sdc-sorb,Y_anc_ypd,Y_anc_ypd-37,Y_anc_ypd-diam,Y_anc_ypd-h2o2,Y_anc_ypd-kcl,Y_anc_ypd-kcl-diam,Y_anc_ypd-kcl-h2o2,Y_anc_ypd-sorb,Y_anc_ypeg-30,Y_anc_ypeg-37
-4.5056877,5.72911,,,,,,,,,,,,,,,,,,,
-4.333258,7.3365235,,,,,,,,,,,,,,,,,,,
-2.1959372,0.6523241,,,,,,,,,,,,,,,,,,,
-5.7648773,5.575811,,,,,,,,,,,,,,,,,,,
-4.4753942,6.6407475,,,,,,,,,,,,,,,,,,,
-4.2948556,5.256062,,,,,,,,,,,,,,,,,,,
-3.8124123,4.4304566,,,,,,,,,,,,,,,,,,,
-4.8115954,5.812739,,,,,,,,,,,,,,,,,,,
-3.426018,4.10178,,,,,,,,,,,,,,,,,,,
-4.9532356,6.073592,,,,,,,,,,,,,,,,,,,
-3.162696,4.7412534,,,,,,,,,,,,,,,,,,,
-4.2828727,4.575447,,,,,,,,,,,,,,,,,,,
-4.385043,5.7582393,,,,,,,,,,,,,,,,,,,
-4.657149,5.031083,,,,,,,,,,,,,,,,,,,
-5.008421,5.8291235,,,,,,,,,,,,,,,,,,,
-4.384121,4.036389,,,,,,,,,,,,,,,,,,,
-5.2892632,6.8044662,,,,,,,,,,,,,,,,,,,
-4.691524,4.87043,,,,,,,,,,,,,,,,,,,
-5.1374416,5.166613,,,,,,,,,,,,,,,,,,,
-3.6334963,4.6513176,,,,,,,,,,,,,,,,,,,
-5.558544,4.584873,,,,,,,,,,,,,,,,,,,
-3.8985279,6.0983214,,,,,,,,,,,,,,,,,,,
-4.6203084,6.98137,,,,,,,,,,,,,,,,,,,
-5.2607503,5.396876,,,,,,,,,,,,,,,,,,,
-4.312919,4.9956694,,,,,,,,,,,,,,,,,,,
-3.1909912,3.4499538,,,,,,,,,,,,,,,,,,,
-4.098101,5.3549833,,,,,,,,,,,,,,,,,,,
-4.9734035,5.009958,,,,,,,,,,,,,,,,,,,
