,dglucose,rich_media,ros,30c,osmolytes,shuffled
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.14776726690668987,0.09991163595221751,0.0440777117469733,0.019286022272698468,0.016762021112923405,0.003031910138625864
2,0.09635365145164337,0.054400126381374404,0.09557551494872282,0.016146321395378426,0.031814159660636256,0.003956450897399121
3,0.00640274774290731,0.010216371567789359,0.058479849394875216,0.014201990343803324,0.04985460026608042,0.004657887869318617
4,0.004356581920065223,0.004501492980514237,0.03739285502867681,0.014680996647434769,0.0523649939230232,0.003954312322232352
5,0.0013935785471582288,0.0019592102508613546,0.04724318042835204,0.013319516416193949,0.0569557302697981,0.006442941708769277
6,0.000868350179376755,0.0019125018032742803,0.02945771435671037,0.011183884995759884,0.05698150721562554,0.00830760035549508
7,0.0007059843101991517,0.001860742512198591,0.02536282237330137,0.011449267213935653,0.05699817208815166,0.008526782335033463
8,0.0006718522888463033,0.0017979572924106389,0.025252474247051255,0.010427027256735819,0.05787280336381524,0.009203264267939921
9,0.0006463508889223646,0.0016742165145396802,0.024739939624939027,0.0041309025615358375,0.07383280185040186,0.010559270616634111
10,0.00034769438099456425,0.0009850235838375766,0.021919597732190658,0.0015322663613695805,0.05144167292105436,0.011409871182194244
11,0.00019651793376223973,0.0005094448598919879,0.020391255550398318,0.00023975229200149552,0.0014500357389089394,0.01259063896595061
12,9.694497083793077e-05,0.00036240434859739496,0.011983511274711813,0.00032347825258360766,0.0009791490047813614,0.010165738649695182
13,9.39822050733496e-05,0.0002928360619327413,0.007227490473598391,0.0002630379745521872,0.0008686837394094053,0.010739143625635281
14,8.036546868889392e-05,0.00013692269734358483,0.007160987026725982,0.0004009681043318528,0.0007909002050572773,0.009792270540493878
15,7.583290829822562e-05,0.00010923921076196988,0.007096516287403387,0.00047336910159527805,0.000827426386183348,0.010642707315129096
16,4.1803851865552144e-05,5.185595982730916e-05,0.007307949131053494,0.0005271086627971331,0.0008318396743050856,0.007456582624563976
17,2.2699015952072953e-05,4.4331987521477744e-05,0.0071542119865917195,0.0006530921774268149,0.0007508592507953213,0.005616733505948379
18,1.9660324051646775e-05,4.108569758185028e-05,0.004587488892350991,0.0008363127788811199,0.0006848400357833385,0.005094757294747937
19,1.568804944294803e-05,4.057294126981212e-05,0.0034786358014499163,0.0004632317196433699,0.000639390269192407,0.005999502506810652
20,1.3904526134026794e-05,2.6896369136091168e-05,0.0033679990173156203,0.00012167414103715441,0.0005379083664153455,0.01167066621053176
21,1.1761355748821707e-05,1.432638462730822e-05,0.0004702935839957719,5.045083447673796e-06,0.0004842746240494996,0.0087132699272119
22,8.162004534745672e-06,8.241270594633038e-06,0.00022096187168654227,5.611962511802713e-06,0.00047593770400649997,0.007780498438009885
23,5.959747070990627e-06,5.416360757383403e-06,4.588952924786095e-05,3.0348759644273705e-06,0.00038907180772635217,0.005243711650075559
24,2.7928801115340402e-06,2.4562290465756677e-06,6.962649811195833e-06,2.4817755749679315e-06,0.00010719765299204626,0.0028247855682290847
25,0.0,0.0,0.0,0.0,0.0,0.0
