,dglucose,rich_media,ros,30c,osmolytes,shuffled
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.31765620580901804,0.3870189586140203,0.24165727404039353,0.5936676786798579,0.06808131549163447,0.044799106854846775
2,0.6366908620787256,0.8418747704286448,0.4182475828759025,0.6955303259139973,0.12580619378502894,0.08881260769288339
3,0.9808937012100736,0.9664645064222331,0.5303132874911282,0.7127442562626771,0.24425352214624296,0.1247891631387547
4,0.984957744470063,0.9871629569230859,0.634871110296649,0.7629572514662746,0.2576169346701201,0.16456185903306556
5,0.9953960284326909,0.9945706283111754,0.7982853229136676,0.7842798165725738,0.2890023425615693,0.2024589816027431
6,0.997670811739345,0.9958683610202423,0.8410435793835974,0.8047738624284267,0.3068182268349267,0.24330315683440487
7,0.9981663564235069,0.9959840688514084,0.8664031990856831,0.8539223613080504,0.3115417235467019,0.27765691326719166
8,0.9983273316293758,0.9961829727500954,0.8708976607406926,0.933805412238048,0.3153329652151497,0.3188781460450021
9,0.9984166571043099,0.9967734858048986,0.8808035623332512,0.9659809650058458,0.45641431817264083,0.35494777995486954
10,0.9989131488254969,0.9977608851066911,0.9022761177443979,0.9835544108491803,0.6809512555281015,0.3959379290603377
11,0.9996241130399145,0.998798089151394,0.9101238156761496,0.9897721286973643,0.9908587953290259,0.43388072604103045
12,0.9997712826663586,0.9991013581532036,0.9435588878635356,0.990239630530644,0.994230477798372,0.47257752470189507
13,0.999783565195748,0.9992602462985317,0.9681041566174168,0.9914544509165911,0.9954883187040521,0.508366128299488
14,0.9998084494527153,0.9996101293017744,0.9716744686601584,0.9923475811420185,0.9958045859464875,0.5476606104328554
15,0.9998205903095762,0.9997006340664513,0.9719116766651505,0.9927694629033029,0.9965035216441059,0.5918694927530711
16,0.9999072193490272,0.9998445643374949,0.9749330585637198,0.994471349539397,0.9965961679229114,0.6283573276151861
17,0.9999320424041974,0.9998769091129924,0.9797431253283891,0.9952159194292723,0.9971702009619001,0.668591735704637
18,0.999940708168742,0.9998908931661306,0.986142331455324,0.9973586279094414,0.9976914122032984,0.7077267251661462
19,0.9999512783597692,0.9998981485024164,0.9915411503365492,0.9987973348210796,0.9982687722675004,0.7427009374603939
20,0.9999593580855223,0.9999193478602231,0.9941731717479017,0.9995697838304051,0.9985213284605298,0.7907655168152297
21,0.9999674806075506,0.9999605012015794,0.9982314829183482,0.9998445287139521,0.9990794895926038,0.8353486403680123
22,0.9999766635370982,0.9999776083991073,0.9991214183510868,0.9998928574632494,0.9991870493949014,0.8790003756808158
23,0.9999841781425217,0.9999855679371553,0.9997865331726574,0.9999376658690872,0.9993621872050308,0.9195989181663536
24,0.9999918983715066,0.999993985459172,0.9999379486434177,0.999969490925175,0.9998404088581547,0.9624460985065818
25,1.0,1.0,1.0,1.0,1.0,1.0
