,dglucose,rich_media,ros,30c,osmolytes,ancestry,shuffled
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07011495431161484,0.050602013132198274,0.07390866682148607,0.056642493057085824,0.021384698487326832,0.0,0.002753718825940783
2,0.014689419166124859,0.05480773146680566,0.09413630534662819,0.05613816736399846,0.029626084968553422,0.0,0.003988828201210784
3,0.0236156917083229,0.08314399527903159,0.03698792196663034,0.038632504936229495,0.03513588278463828,0.0,0.005712803607977506
4,0.012610225228657094,0.05956059857390047,0.03900744765097961,0.0471285434624162,0.026923883349996295,0.0,0.006750664001133441
5,0.007948789018218905,0.05823696490824625,0.0346912954748622,0.046063335599006675,0.06057322376391713,0.0,0.0063743968668947245
6,0.00625908249398774,0.012778669785145231,0.03446299176565037,0.03263766207389262,0.009186999664721536,0.0,0.008228015568127184
7,0.0035274618804280837,0.006519665762151415,0.03470670728625747,0.025184981823966033,0.0029983303535743074,0.0,0.006511663784707083
8,0.0015913526064817499,0.006444798319219473,0.0349904894583691,0.00952070038579622,0.0030389025752877285,0.0,0.009077779367429801
9,0.0015944296582970031,0.005847265315532784,0.03509697370521505,0.008079921547172684,0.002835064345816541,0.0,0.009098948217778936
10,0.0014575015078443219,0.005405306999570969,0.03501398519600438,0.0075871158170304365,0.002801178656057966,0.0,0.0073536209181325925
11,0.0012336559087265362,0.005191032479031511,0.03239206108568485,0.006725617439715645,0.0027259581398663504,0.0,0.007084484078157382
12,0.0008659635116070635,0.004510583188693075,0.027621127633693524,0.006671175325701051,0.0011741651195329497,0.0,0.007480591820049098
13,0.0008494651602725575,0.003147996100905095,0.024611610729237596,0.006897792513531116,0.0005701076482767597,0.0,0.007959932569917668
14,0.0008253898870559616,0.0016480812997579299,0.024580723026277035,0.006767214441693159,0.0005448619251284189,0.0,0.005537963727903123
15,0.0008069370421615594,0.001511097299143508,0.023360948190601864,0.006117627203079996,0.0003731043289759036,0.0,0.007062852818464416
16,0.0008030901041350361,0.001291128549821434,0.0218371671447879,0.0045054419817615226,0.00032601270091908767,0.0,0.009178962334354229
17,0.0007978661132583083,0.0012212099698043519,0.019713948837738356,0.0011264704549280363,0.00028433015255446484,0.0,0.008339794374923562
18,0.0007966199099968124,0.0011821897416569751,0.01867797865204574,0.0011743422086789041,0.0002615916759102725,0.0,0.007264835377012112
19,0.0005678562925563657,0.0005739644350939956,0.012490828723809907,0.0011616633393904336,0.00020102536547098948,0.0,0.007409095715130667
20,0.00048489038935211877,0.0005719368985610638,0.004238910844841361,0.0011816065234834066,0.00016431462488851348,0.0,0.005229382499821747
21,0.00047500946725403107,0.0005502348598767133,0.0020697135845402304,0.0008769649676853217,9.282301018174187e-05,0.0,0.005676925106596915
22,0.0004284152203862146,0.0003861702432169202,0.0014079250520194445,0.00045383395624943473,5.6598912787654464e-05,0.0,0.0054955164752825995
23,0.000340291448195084,0.00037980673956874343,0.0012788055464633163,0.00012296737371246826,5.8440413985829215e-05,0.0,0.006334873364237337
24,0.00015875752151117825,0.0003220586120335609,0.0012098108383309435,0.00011668669476936125,6.5772214067726e-05,0.0,0.006844919907116875
25,1.4178014222324828e-05,8.279045141855638e-05,0.0012774486047022909,0.00011328424727498068,5.12309886555054e-05,0.0,0.005329028318341475
26,1.311451670575459e-05,6.862200783753395e-05,0.0014358376359109722,9.872096485844412e-05,4.22568069684186e-05,0.0,0.0028211591084534673
27,9.253047995734865e-06,4.446676034374289e-05,0.0014985281959190306,7.598960071634294e-05,1.6182802280426682e-05,0.0,0.0036242603266985383
28,4.914455433536802e-06,3.9346301892323544e-05,0.0010895532619925458,6.855572950144647e-05,1.0547354956790005e-05,0.0,0.0025737376195307657
29,2.702982061358307e-06,1.0300999094434227e-05,0.0005354459258369165,6.804377336292196e-05,6.916307617524257e-06,0.0,0.0016553664389231785
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
