PC,variance_explained,std
185,0.0009367326,4.394106e-06
186,0.00093396596,4.050753e-06
187,0.0009311198,4.409757e-06
188,0.0009276685,4.257197e-06
189,0.00092447014,4.811397e-06
190,0.0009219416,4.637195e-06
191,0.0009196214,4.9627706e-06
192,0.0009151403,5.9007803e-06
193,0.0009117658,5.2697424e-06
194,0.0009098976,5.376371e-06
195,0.00090672506,4.6025375e-06
196,0.00090288906,4.1196718e-06
197,0.000900659,4.5856373e-06
198,0.00089805503,3.9887846e-06
199,0.0008957739,4.722137e-06
200,0.0008927664,3.840674e-06
201,0.0008895759,3.9491165e-06
202,0.0008868661,3.8375315e-06
203,0.000884678,4.118735e-06
204,0.00088097114,4.5845604e-06
205,0.0008785826,3.6744166e-06
206,0.00087572046,4.1018297e-06
207,0.0008732393,4.2774464e-06
208,0.0008709381,3.7796954e-06
209,0.00086789945,3.4814445e-06
210,0.00086526445,3.489376e-06
211,0.00086202833,4.544061e-06
212,0.0008588148,3.9763586e-06
213,0.00085652265,3.7380537e-06
214,0.000853629,4.7520916e-06
215,0.00085132394,3.877042e-06
216,0.0008490308,3.6466263e-06
217,0.0008464189,3.3604667e-06
218,0.0008445127,3.131249e-06
219,0.00084179844,3.4469695e-06
220,0.0008402299,3.351306e-06
221,0.0008372818,2.3299558e-06
222,0.00083455845,2.760781e-06
223,0.00083155814,2.1533535e-06
224,0.000829511,1.7498054e-06
225,0.00082678633,2.816154e-06
226,0.00082431757,2.7601463e-06
227,0.0008216773,2.489584e-06
228,0.0008191887,2.5085137e-06
229,0.0008163895,3.598142e-06
230,0.00081462465,3.2475295e-06
231,0.00081228645,2.575039e-06
232,0.00080908876,3.2719706e-06
233,0.00080742204,3.6324407e-06
234,0.0008050456,3.2716005e-06
235,0.0008033705,3.102554e-06
236,0.00080037914,3.9389656e-06
237,0.00079886185,3.7189993e-06
238,0.0007957328,3.628927e-06
239,0.0007938047,3.877941e-06
240,0.0007919871,3.755216e-06
241,0.00078915857,3.8652875e-06
242,0.0007872805,3.3856068e-06
243,0.0007845073,3.6414515e-06
244,0.0007825447,3.3829137e-06
245,0.00078049634,3.6745241e-06
246,0.00077851163,3.6204096e-06
247,0.00077668193,3.1237787e-06
248,0.000775107,2.8879701e-06
249,0.0007719399,3.5289308e-06
250,0.0007699268,3.6257932e-06
251,0.0007677697,3.7341147e-06
252,0.00076600374,4.2029105e-06
253,0.00076384883,3.8239236e-06
254,0.00076220377,3.1970735e-06
255,0.00076023577,3.588528e-06
256,0.00075818464,3.5262701e-06
257,0.0007559199,3.1131049e-06
258,0.00075355923,3.0727801e-06
259,0.00075161416,2.3146583e-06
260,0.0007497757,2.1629126e-06
261,0.0007485977,2.7605308e-06
262,0.0007465232,2.547966e-06
263,0.0007447879,2.1572337e-06
264,0.00074219273,3.1905481e-06
265,0.0007400429,2.884492e-06
266,0.0007381388,2.8138575e-06
267,0.00073559885,3.199842e-06
268,0.0007336656,2.7303e-06
269,0.00073201413,3.4280017e-06
270,0.0007303581,2.763749e-06
271,0.00072828983,2.5202605e-06
272,0.00072630664,2.9738578e-06
273,0.0007243378,2.3055152e-06
274,0.00072204263,2.833023e-06
275,0.0007207495,3.3141146e-06
276,0.00071889255,3.0383849e-06
277,0.0007171145,3.2787011e-06
278,0.00071503216,3.1488719e-06
279,0.0007133221,3.1101752e-06
280,0.0007116804,2.527633e-06
281,0.00071009056,2.793888e-06
282,0.0007086399,2.7003045e-06
283,0.00070643146,3.098937e-06
284,0.00070495636,2.7819976e-06
285,0.00070273696,2.9288174e-06
286,0.0007010593,3.2210733e-06
287,0.00069988373,3.2446635e-06
288,0.0006976253,2.6109324e-06
289,0.0006956942,2.5693985e-06
290,0.00069460773,2.3111704e-06
291,0.00069233694,2.6349778e-06
292,0.00069085386,2.3499367e-06
293,0.00068931124,2.28573e-06
294,0.0006875193,2.5486454e-06
295,0.00068580115,2.7246574e-06
296,0.0006842984,2.9898702e-06
297,0.00068214175,2.7101994e-06
298,0.0006809962,2.4275607e-06
299,0.00067945634,2.8292982e-06
300,0.00067748904,2.74516e-06
301,0.000675785,2.6329606e-06
302,0.0006743689,2.730568e-06
303,0.0006729351,2.478159e-06
304,0.0006718242,2.446881e-06
305,0.0006696243,2.3690852e-06
306,0.0006679234,2.475917e-06
307,0.0006664362,2.643654e-06
308,0.00066450884,2.7574692e-06
309,0.00066313025,2.9141474e-06
310,0.0006619854,2.6192956e-06
311,0.00065985206,2.5219617e-06
312,0.00065844564,2.6211615e-06
313,0.0006568794,2.2091226e-06
314,0.0006558832,2.7642643e-06
315,0.0006542724,2.6225694e-06
316,0.0006522949,2.4515944e-06
317,0.0006512941,2.4800381e-06
318,0.00064992084,2.4856583e-06
319,0.000647843,2.9922178e-06
320,0.00064599083,2.5986483e-06
321,0.0006449944,2.435058e-06
322,0.0006434045,1.7117751e-06
323,0.000641689,1.9418292e-06
324,0.0006406065,1.9274437e-06
325,0.00063938915,2.1639432e-06
326,0.00063791417,1.5812063e-06
327,0.00063570944,1.8342944e-06
328,0.00063491205,2.2932957e-06
329,0.00063363335,2.5134696e-06
330,0.0006320334,2.012978e-06
331,0.0006307197,2.4505302e-06
332,0.0006290945,2.443386e-06
333,0.0006277852,2.5115146e-06
334,0.00062622223,2.7472638e-06
335,0.0006246951,2.118206e-06
336,0.00062327605,2.156989e-06
337,0.0006221081,2.1617047e-06
338,0.0006207002,2.3433636e-06
339,0.0006195477,2.2858756e-06
340,0.00061800453,2.2114064e-06
341,0.0006168201,2.1556323e-06
342,0.0006152719,1.8312505e-06
343,0.0006142931,1.9497745e-06
344,0.000612872,2.5058084e-06
345,0.00061160093,2.3858493e-06
346,0.000609738,1.972858e-06
347,0.00060869794,1.9936188e-06
348,0.0006076926,2.1606909e-06
349,0.00060642324,2.1436606e-06
350,0.0006051534,2.1919425e-06
351,0.0006040189,2.3021732e-06
352,0.00060195575,2.1943235e-06
353,0.0006005337,2.7999101e-06
354,0.00059953006,2.4787726e-06
355,0.00059858005,2.3765792e-06
356,0.0005973745,2.1936473e-06
357,0.0005957176,2.305727e-06
358,0.0005942428,1.9378003e-06
359,0.00059300434,1.9340546e-06
360,0.00059196324,1.684389e-06
361,0.000590557,1.5313011e-06
362,0.0005893872,1.873529e-06
363,0.00058778457,1.9990696e-06
364,0.00058672146,1.7067784e-06
365,0.00058580993,1.954291e-06
366,0.00058463233,1.801634e-06
367,0.0005827927,1.6717264e-06
368,0.00058197905,1.3345706e-06
369,0.00058077555,2.0407738e-06
370,0.00057960214,1.9564309e-06
371,0.0005786732,1.8002063e-06
372,0.0005774837,2.1565054e-06
373,0.0005759593,2.0161133e-06
374,0.0005750743,1.898811e-06
375,0.0005737865,1.6787209e-06
376,0.0005726774,1.8245512e-06
377,0.000571075,2.332506e-06
378,0.0005700436,2.0762564e-06
379,0.00056842586,1.7024804e-06
380,0.0005672398,1.7567958e-06
381,0.00056612294,2.0433201e-06
382,0.000564967,2.389043e-06
383,0.00056364527,2.206232e-06
384,0.0005623303,2.2273232e-06
385,0.0005614924,2.035071e-06
386,0.0005602307,2.1397982e-06
387,0.0005587992,1.660854e-06
388,0.0005573441,2.4319045e-06
389,0.00055642665,2.2575261e-06
390,0.0005553318,1.9473136e-06
391,0.0005542276,1.6396791e-06
392,0.00055314315,1.5566119e-06
393,0.00055169954,1.7682086e-06
394,0.0005506107,1.9240258e-06
395,0.0005491321,2.0381547e-06
396,0.0005480435,2.1095984e-06
397,0.00054672157,2.2370127e-06
398,0.000545148,2.1380793e-06
399,0.00054436753,2.499442e-06
400,0.0005435129,2.2670965e-06
401,0.00054213323,2.2327645e-06
402,0.0005408617,2.41293e-06
403,0.0005399395,2.4236872e-06
404,0.00053894235,2.0488155e-06
405,0.0005379801,2.449699e-06
406,0.00053677306,2.6232917e-06
407,0.00053583324,2.2506483e-06
408,0.000534747,2.468944e-06
409,0.00053363235,2.3865243e-06
410,0.0005327038,2.1492162e-06
411,0.00053159526,2.2221932e-06
412,0.0005301468,2.1855449e-06
413,0.0005290308,1.9463955e-06
414,0.0005277974,2.2216034e-06
415,0.00052698015,1.8569506e-06
416,0.00052564364,2.0702912e-06
417,0.00052449567,2.5634718e-06
418,0.0005235005,2.3827017e-06
419,0.00052183593,1.9963975e-06
420,0.0005209798,2.1310395e-06
421,0.00051998487,1.9558956e-06
422,0.00051843794,2.4803812e-06
423,0.0005174891,2.4279352e-06
424,0.0005162848,2.2627748e-06
425,0.0005150428,2.177736e-06
426,0.0005145041,2.2522972e-06
427,0.00051372213,2.263869e-06
428,0.00051255757,2.6492337e-06
429,0.00051108276,2.5628653e-06
430,0.0005100496,2.4511107e-06
431,0.00050901755,2.3493342e-06
432,0.0005079571,2.423767e-06
433,0.0005066411,2.1880962e-06
434,0.00050583284,1.993635e-06
435,0.00050480507,2.1600274e-06
436,0.00050407875,2.1530316e-06
437,0.00050292234,2.0185626e-06
438,0.00050161785,2.2620152e-06
439,0.00050086225,2.132368e-06
440,0.0004998334,2.167539e-06
441,0.00049908605,2.1994167e-06
442,0.0004979447,2.1909054e-06
443,0.0004969855,2.280202e-06
444,0.0004957729,2.401301e-06
445,0.0004944727,2.1332035e-06
446,0.0004936407,2.1681278e-06
447,0.0004928433,1.8786081e-06
448,0.0004914606,2.1918222e-06
449,0.00049034855,1.8837046e-06
450,0.00048952154,1.9065689e-06
451,0.00048800255,2.0794964e-06
452,0.00048710132,1.8405487e-06
453,0.00048594296,1.8274877e-06
454,0.00048488914,1.628246e-06
455,0.00048373136,1.7781315e-06
456,0.00048287454,1.9131369e-06
457,0.00048150372,1.5543687e-06
