,rich_media,30c,dglucose,ros,osmolytes,shuffled
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0033192036464252724,0.013712137565630817,0.02954453173952483,0.009660519216726757,0.016782884971982805,0.0012532693737952211
2,0.0023472221346175176,0.012318303645092335,0.025613814173847154,0.018820811616190605,0.027883816274828863,0.0014238432562471146
3,0.027190534982480682,0.00934369011865443,0.018183927972990156,0.015630248285045105,0.02819963260486191,0.0013215175666802701
4,0.02678171188563068,0.006994339596196265,0.01783373443793262,0.00888040959776741,0.02615295008149363,0.0021573186842104557
5,0.0018164391709397966,0.006968070102849368,0.013411267107655514,0.009319045926038312,0.02465800568505956,0.00249077233592074
6,0.000761280462465836,0.012635697148403917,0.010821009596622992,0.009182400602025917,0.008675871381623733,0.0024243306455241967
7,0.0007863395386817888,0.009789474436932568,0.0014525981862604847,0.008929969959765522,0.005993915371397086,0.002047548589766516
8,0.0004057695853346645,0.004645679435161163,0.0008747073965400756,0.00877985360082272,0.0042673330013678215,0.0015839128026592507
9,0.00043485878645291607,0.004767878276788012,0.00034155557591178046,0.00890514600214523,0.0041151112996401385,0.0015524952058899692
10,0.0004472619304843545,0.004762168222545316,0.0003427779119655758,0.008866693280394205,0.0040574141331502925,0.0009519741458891229
11,0.0004321345902686556,0.004791463197115562,0.00025554573874054024,0.00883422862019905,0.0040941532941360615,0.0008671630072760321
12,0.000369765797352381,0.004767146082616098,0.00016133219927909237,0.008201646711793483,0.003771612170731834,0.0013967900009442945
13,0.00018340619585371728,0.004518639762360342,0.00013855098971405751,0.00629487517508111,0.00228986572130483,0.0024575847461834254
14,8.422129743618024e-05,0.004614478602501032,0.00012283623768555787,0.003927816608467826,0.000795345714906004,0.0023168648512138525
15,9.699210374504495e-05,0.0029350301664648765,0.0001230266561241309,0.0018200189711250004,0.0005310519125126429,0.0023873061046080567
16,9.940134077791044e-05,0.0015302910889264003,0.00012273041727672095,0.001306635048883115,0.00038036858601336415,0.0022197140542078364
17,8.992306033333114e-05,0.00041939020948360186,0.00011798339363219464,0.0013891133523540467,0.00035535413957684764,0.0019087501448011794
18,9.016746869201972e-05,0.0003617080185840241,0.00011428310261979377,0.0014603293358614582,0.0003703144060358666,0.0016027965754598298
19,9.166037582780837e-05,0.00034686075904230475,8.765252604645844e-05,0.0014002577507157153,0.000327611985730953,0.0015843543725740556
20,7.847992623236882e-05,0.00022840550691968458,9.018289836483256e-05,0.0015558180259013362,0.0003338113267962561,0.0021341659105344373
21,7.796425431354981e-05,0.00015023552212904768,9.046854806148553e-05,0.0010808428783598927,0.00029060800935459027,0.0023447283478116947
22,5.006197363886716e-05,9.615924111335548e-05,4.613274710727697e-05,0.0006895209377649592,0.000237438894576204,0.0023137279774300217
23,2.9356704398422727e-05,8.427966606808992e-05,4.023482730444183e-05,0.00047852540781442523,0.00013214284349143165,0.00241076842287649
24,2.1657387329237026e-05,8.687459209407469e-05,4.165605086197033e-05,0.0002304838841240473,0.00013246605795183623,0.002093524254809507
25,1.2021043484156175e-05,8.502249645514044e-05,3.182840708197853e-05,0.0002668982004575658,9.861177151246818e-05,0.001854907077416994
26,1.2031273983021318e-05,7.862746970425519e-05,3.016939735755168e-05,0.00025906970880978486,6.0545842160661944e-05,0.001795068983202795
27,1.1289461207086519e-05,7.612594663168591e-05,2.7054852329424973e-05,0.0002906920498514912,5.739300173896543e-05,0.002043322335485207
28,1.1833066958665671e-05,8.520885894098996e-05,2.4951986872639613e-05,0.0002926935458963482,5.709033307633093e-05,0.0022434410535221868
29,1.13092240950801e-05,7.473443397629078e-05,2.2769660072913034e-05,0.00038406024121606213,5.7539347467353534e-05,0.0021564356057708098
30,9.638057620081544e-06,3.151473332180681e-05,1.3669286050118135e-05,0.000435683170907522,5.398534071376286e-05,0.0021970659098188134
31,7.728875993553264e-06,1.5134764754209825e-05,1.027243679488758e-05,0.0005116393461502769,5.264716993631611e-05,0.0024813802310734144
32,6.630180013591438e-06,1.2381389309258795e-05,9.263045278104214e-06,0.0004877076597669846,4.9787139951843953e-05,0.0027217467529606107
33,5.569883342658477e-06,7.699042620626297e-06,8.81021953066196e-06,0.0005078336056064937,4.188102944518381e-05,0.0021929049748596356
34,5.181158568191886e-06,5.3011927016997626e-06,7.574337885400542e-06,0.000494533986783767,3.0935760774384585e-05,0.002458026214711913
35,4.233427279795306e-06,6.091250665935111e-06,6.2137213778630896e-06,0.0004906321730374709,2.878847512088218e-05,0.002407549779756698
36,3.370596693835175e-06,6.5328685322926765e-06,5.570214675106855e-06,0.0004936196117088077,2.8789434341973624e-05,0.00233062184063741
37,1.7270276191207935e-06,5.3883374175296025e-06,4.53687168085112e-06,0.00036001722362778997,2.656794378529576e-05,0.0022159588747433555
38,6.971044856848592e-07,4.392092978261411e-06,3.7366437586093717e-06,0.00023775379079240798,2.6149728924056877e-05,0.0014202147974666966
39,6.379165093154799e-07,2.4699814331169854e-06,2.168163534179069e-06,4.2690794004221326e-05,1.1127073828184272e-05,0.0012025013347454429
40,0.0,0.0,0.0,0.0,0.0,0.0
