,dglucose,rich_media,ros,30c,osmolytes,ancestry,shuffled
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.045429451879134816,0.01625928565644885,0.03419007250135035,0.058198223853543625,0.052472210365707615,0.0,0.0023072835345957915
2,0.0848767896177781,0.07673433836954204,0.06010064648495004,0.06839826560204476,0.08788539671365594,0.0,0.005316479180034764
3,0.08845525324688286,0.08665102202696971,0.03519309597149375,0.05026428898154795,0.08614868998388014,0.0,0.004743065249972778
4,0.08703704062558247,0.08046483473127283,0.047602761946378656,0.06286868572772389,0.09581889041470971,0.0,0.006015380985059777
5,0.0585333330603544,0.032388810913572895,0.04600922540492762,0.058913788818533645,0.07125512873659155,0.0,0.00813689862248647
6,0.04474523889930192,0.01869763299399853,0.03893038222870842,0.049373144492786195,0.029965575555379084,0.0,0.007706222524143906
7,0.0037833008671950123,0.004817316137069879,0.03491125906989062,0.022443011568155775,0.004773034199664585,0.0,0.010305347572317517
8,0.0010805574748363447,0.004820715456486227,0.03367220409394845,0.01699760274830589,0.004534047039060697,0.0,0.00844704655190107
9,0.0011354265846765471,0.003644403347234786,0.03343963706001801,0.01196532247223541,0.004638779746052644,0.0,0.008828049586381762
10,0.0007023902331114669,0.0028891539628396797,0.03319964316396506,0.010983046460837515,0.004326787829399543,0.0,0.010766261592770662
11,0.0005485314789770525,0.002671589797452723,0.029331084700909463,0.010508769688037831,0.004232249304414145,0.0,0.010741745819873435
12,0.00024715992838241364,0.001935860253933209,0.02326458373054218,0.010260513822479944,0.003758083312750954,0.0,0.012094415547753484
13,0.00021903896572624378,0.0010426414920917371,0.011000969308456376,0.010182165056210528,0.0024018261072078907,0.0,0.012909709695922008
14,0.0001857935529540101,0.0010316098504391305,0.01046775119681161,0.010065094170798768,0.0009483409591268297,0.0,0.013774973997203184
15,0.00018121351704180542,0.0010045162141455973,0.010748276612918047,0.008256646434885127,0.000642430426765131,0.0,0.01165543944323692
16,0.00017883362646971282,0.0010343563335971995,0.010865237504321876,0.004696762720036509,0.0005931612444346377,0.0,0.011214759211101889
17,0.00016187360719757105,0.0006794077799441033,0.013016046266612966,0.0013575014789078703,0.0004384616154209853,0.0,0.01149288032080309
18,0.00015603082539774482,0.0005403788657420911,0.013373065681006359,0.0013286135064470865,0.00037117451735285955,0.0,0.011574906232748618
19,0.00014747163189665654,0.0005821709514227121,0.009548010501710072,0.0013083617883795173,0.0003396114587500613,0.0,0.012279138512266679
20,0.0001875006144056726,0.0005662468661606261,0.0037955839331380577,0.0010634738060528056,0.0001267211622917021,0.0,0.011783418221935807
21,0.00016194421676000585,0.00044355422449406556,0.0023151713548729986,0.0005958105303999516,0.0001147829655064716,0.0,0.011446608568666418
22,0.00016646818137454583,0.00042856571553766666,0.00193245403430351,0.0005240495804621445,0.00011238575623262946,0.0,0.010786111440696257
23,9.695728986864657e-05,0.00037892290421861986,0.0018797103899735833,0.00017309251501557328,0.0001032700920785791,0.0,0.009101948302266462
24,6.380646875333876e-05,0.00023645189132566068,0.001892095429981169,0.0001647786870796342,8.175972408440642e-05,0.0,0.0067142925910043715
25,2.3070337545575446e-05,2.406789558463253e-05,0.0017325611890076716,0.0001566417083472782,7.725574902486048e-05,0.0,0.004950811960227787
26,1.702969859423467e-05,1.679517540135986e-05,0.0017318814168311722,0.00016850573485462921,1.5684356541131767e-05,0.0,0.004922917938265239
27,1.1664286286667533e-05,1.106330114951346e-05,0.0012127578731058464,0.00017388071781375124,7.604934239258446e-06,0.0,0.005139087258710424
28,8.119194863693672e-06,8.841942107996444e-06,0.0006391805463927735,0.0001488973550423033,5.349392153263492e-06,0.0,0.005108607004095302
29,3.609512763370612e-06,3.737501249329976e-06,0.0003030034299893518,7.437844846127476e-05,3.1439336047858492e-06,0.0,0.0021915929883468167
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
