X,Y_evo_sceg-30,Y_evo_sdc,Y_evo_sdc-37,Y_evo_sdc-diam,Y_evo_sdc-h2o2,Y_evo_sdc-kcl,Y_evo_sdc-kcl-diam,Y_evo_sdc-kcl-h2o2,Y_evo_sdc-sorb,Y_evo_ypd,Y_evo_ypd-37,Y_evo_ypd-diam,Y_evo_ypd-h2o2,Y_evo_ypd-kcl,Y_evo_ypd-kcl-diam,Y_evo_ypd-kcl-h2o2,Y_evo_ypd-sorb,Y_evo_ypeg-30
-3.62135,12.693004,,,,,,,,,,,,,,,,,
-2.719968,12.162502,,,,,,,,,,,,,,,,,
-1.6950371,10.377018,,,,,,,,,,,,,,,,,
-2.6070051,11.903344,,,,,,,,,,,,,,,,,
-3.0770671,10.631998,,,,,,,,,,,,,,,,,
-2.6503944,9.990343,,,,,,,,,,,,,,,,,
-2.3952436,11.507688,,,,,,,,,,,,,,,,,
-3.3352542,10.996407,,,,,,,,,,,,,,,,,
-1.9392797,10.185912,,,,,,,,,,,,,,,,,
-3.1962202,8.458704,,,,,,,,,,,,,,,,,
-3.081445,8.063113,,,,,,,,,,,,,,,,,
-2.966217,10.245267,,,,,,,,,,,,,,,,,
-2.9585466,11.843234,,,,,,,,,,,,,,,,,
-1.9521374,9.991544,,,,,,,,,,,,,,,,,
-1.383611,10.477278,,,,,,,,,,,,,,,,,
-2.3642676,10.619405,,,,,,,,,,,,,,,,,
-2.7712216,9.814488,,,,,,,,,,,,,,,,,
-2.0160406,9.275296,,,,,,,,,,,,,,,,,
-2.0117204,10.526919,,,,,,,,,,,,,,,,,
-3.495024,12.793312,,,,,,,,,,,,,,,,,
-2.9191713,12.544734,,,,,,,,,,,,,,,,,
-4.2505846,7.66407,,,,,,,,,,,,,,,,,
-1.9418188,11.650814,,,,,,,,,,,,,,,,,
4.9467106,6.089535,,,,,,,,,,,,,,,,,
-2.537624,11.381648,,,,,,,,,,,,,,,,,
-2.5273743,10.953517,,,,,,,,,,,,,,,,,
-2.254891,11.237801,,,,,,,,,,,,,,,,,
-3.2892551,12.345212,,,,,,,,,,,,,,,,,
-3.2830825,12.321284,,,,,,,,,,,,,,,,,
-2.88594,12.457991,,,,,,,,,,,,,,,,,
-1.5290704,11.207526,,,,,,,,,,,,,,,,,
-3.267675,11.617108,,,,,,,,,,,,,,,,,
-1.7443224,9.701821,,,,,,,,,,,,,,,,,
-2.8051915,10.497618,,,,,,,,,,,,,,,,,
-3.3571103,11.244329,,,,,,,,,,,,,,,,,
-3.150793,11.451502,,,,,,,,,,,,,,,,,
-2.9401019,10.067596,,,,,,,,,,,,,,,,,
-2.2525027,11.138847,,,,,,,,,,,,,,,,,
-2.6039484,10.219038,,,,,,,,,,,,,,,,,
-2.4768026,10.658054,,,,,,,,,,,,,,,,,
-3.2258072,12.544904,,,,,,,,,,,,,,,,,
-2.9594505,11.369495,,,,,,,,,,,,,,,,,
-1.461002,8.405696,,,,,,,,,,,,,,,,,
-2.5875413,10.676243,,,,,,,,,,,,,,,,,
-1.6821849,10.510723,,,,,,,,,,,,,,,,,
-3.0079408,12.422995,,,,,,,,,,,,,,,,,
-2.4942257,11.046542,,,,,,,,,,,,,,,,,
-2.186646,9.372848,,,,,,,,,,,,,,,,,
-3.0568347,11.781647,,,,,,,,,,,,,,,,,
-3.6116912,11.62115,,,,,,,,,,,,,,,,,
-2.7630074,10.710858,,,,,,,,,,,,,,,,,
-2.004467,9.3655615,,,,,,,,,,,,,,,,,
-1.900337,9.859236,,,,,,,,,,,,,,,,,
-3.2321286,12.608264,,,,,,,,,,,,,,,,,
-2.4483597,12.064178,,,,,,,,,,,,,,,,,
-2.9429302,9.380015,,,,,,,,,,,,,,,,,
-1.5602654,10.094377,,,,,,,,,,,,,,,,,
-3.3275738,11.89911,,,,,,,,,,,,,,,,,
-2.5384352,11.504838,,,,,,,,,,,,,,,,,
-2.3701878,7.045299,,,,,,,,,,,,,,,,,
-1.992078,10.011882,,,,,,,,,,,,,,,,,
-2.1269302,10.795857,,,,,,,,,,,,,,,,,
-2.9191926,11.47187,,,,,,,,,,,,,,,,,
-3.536348,11.685988,,,,,,,,,,,,,,,,,
-2.653337,12.43833,,,,,,,,,,,,,,,,,
-3.4779143,9.4027815,,,,,,,,,,,,,,,,,
-1.4453723,8.335009,,,,,,,,,,,,,,,,,
-2.2908096,10.600173,,,,,,,,,,,,,,,,,
-3.484618,11.541375,,,,,,,,,,,,,,,,,
-3.0199592,10.066101,,,,,,,,,,,,,,,,,
-2.6934407,9.614342,,,,,,,,,,,,,,,,,
-2.50072,10.48548,,,,,,,,,,,,,,,,,
-1.1196451,10.334664,,,,,,,,,,,,,,,,,
-1.5132836,10.8739605,,,,,,,,,,,,,,,,,
-2.54682,9.797454,,,,,,,,,,,,,,,,,
-3.283803,10.897948,,,,,,,,,,,,,,,,,
-1.7373661,10.27668,,,,,,,,,,,,,,,,,
-1.5847683,10.385182,,,,,,,,,,,,,,,,,
-3.1444917,11.552246,,,,,,,,,,,,,,,,,
-1.7935731,11.315395,,,,,,,,,,,,,,,,,
-3.003855,11.303214,,,,,,,,,,,,,,,,,
-2.8880486,10.690106,,,,,,,,,,,,,,,,,
-3.3337607,8.823778,,,,,,,,,,,,,,,,,
-3.4391274,12.413954,,,,,,,,,,,,,,,,,
-1.6516345,10.708632,,,,,,,,,,,,,,,,,
-2.247538,12.013014,,,,,,,,,,,,,,,,,
-1.487993,7.8910832,,,,,,,,,,,,,,,,,
