PC,rank,gene,loading
0,1,TMA10,0.11343712851015864
0,2,NCE103,0.11334109123417524
0,3,HXT6,0.10644455084281437
0,4,HOR7,0.10381796524840925
0,5,ALD4,0.10178452029671811
0,6,DDR2,0.10170173632192019
0,7,GLK1,0.09913443802268297
0,8,YLR307C-A,0.09813902966229968
0,9,ICL1,0.09747437491299496
0,10,FIT3,0.0969560665185113
1,1,MET6,-0.14658337436170957
1,2,ZRT1,-0.14645167556887453
1,3,BIO4,-0.12844662472457496
1,4,ITR1,-0.12753610572625043
1,5,ZPS1,-0.12678600152375682
1,6,BIO3,-0.12326202078433167
1,7,SHM2,-0.11849201158359207
1,8,PDC5,-0.1147484574975533
1,9,GCV2,-0.11288295590138374
1,10,FET3,-0.11123492231166027
2,1,CPR6,0.13506025098754987
2,2,CRH1,0.13360105309636788
2,3,SSA4,0.1281320291639582
2,4,HSP60,0.12388017922351843
2,5,HSP82,0.11878862340654914
2,6,SRL3,0.11704011603343967
2,7,NCW2,0.11670964455765999
2,8,YMR122W-A,0.11424427725154428
2,9,URA1,0.1135209487474997
2,10,STI1,0.11225561052066188
3,1,MET14,0.19736909225357308
3,2,MET3,0.19484777266666703
3,3,MET17,0.17064080373550503
3,4,MUP1,0.15568771638086143
3,5,MET5,0.12887452685133266
3,6,SUL1,0.12799345637855428
3,7,MET1,0.12798734177442614
3,8,MET10,0.1255608362083367
3,9,GRX8,0.12202631135363383
3,10,DAL5,-0.12068986974384999
4,1,PCK1,-0.1878871967209047
4,2,HSP26,0.17633556278179197
4,3,FBP1,-0.16138133387376516
4,4,ADH2,-0.14084830595969544
4,5,SIP18,0.13270548201612092
4,6,DDR2,0.1241736872252798
4,7,ODC1,-0.11969240882426757
4,8,HSP104,0.11760066845993251
4,9,SPG4,0.11573083767226212
4,10,AHP1,0.11534657728795476
